description,FaceValue,Products
"SAVE $0.50 on any one (1) Pine-Sol® product, 40oz+",$0.50,Pine-Sol® product
"$0.25 OFF ONE (1) package of Keebler® Caramel Nut Dreams, Coconut Dreams, Strawberry Shortcake, or Hot Fudge Sundae cookies",$0.25,"cookies, Coconut Dreams, Strawberry Shortcake, package of Keebler® Caramel Nut Dreams, Hot Fudge Sundae cookies"
"SAVE $1.00 ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).",$1.00,"Oral-B Glide Manual Floss, Oral-B, Floss Picks, Interdental, Glide Manual Floss, Interdental Picks, Interdental Brush, trial/travel size"
"SAVE $1.00 on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)",$1.00,"trial &amp; travel sizes, BENADRYL®, travel sizes, trial &amp, topical"
"GET $2.00 off any ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",$2.00,"PULL-UPS® Training Pants, PULL-UPS®, Bag of PULL-UPS® Training Pants"
$1.00 OFF on any ONE (1) Reser's Deli Sides 12-14oz Item,$1.00,"Sides, Reser's Deli Sides"
SAVE $1.00 on any one (1) El Monterey® Single Serve Meals,$1.00,El Monterey® Single Serve Meals
"SAVE $2.00 ONE Always DISCREET Incontinence Product (excludes other Always Products, Always Discreet Boutique and trial/travel size).",$2.00,"Always DISCREET Incontinence Product, Always Discreet Boutique, Always Products, Always Discreet, DISCREET Incontinence Product, trial/travel size"
SAVE $3.00 ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,$3.00,"Gillette Disposable, Venus, Sensor, Venus Products, excludes Sensor, larger"
"SAVE $0.50 On any ONE (1) GOOD FOODS Guacamole, Plant-based Dip, Dairy Dip, or Salsa",$0.50,"Plant-based Dip, GOOD FOODS Guacamole, Dairy Dip, Salsa"
SAVE $2.00 on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger (excludes Aleve-D®),$2.00,"Aleve® or Aleve®PM product, Aleve-D®, Aleve®PM product, Aleve®, larger"
"SAVE $1.00 on any ONE (1) Cheez-It® Baked Snack Crackers Caddy Pack (20 ct. or Larger, Any Flavor)",$1.00,"Cheez-It® Baked Snack Crackers Caddy Pack, Crackers, larger"
"SAVE $1.00 ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).",$1.00,"Tide Simply PODS, Laundry Detergent, Tide, Tide detergent, Tide PODS, Tide Simply Laundry Detergent, Tide Simply, ERA Laundry Detergent, larger, trial/travel size"
"SAVE 55¢ on any ONE (1) OFF!® Product(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)",$5.5,"twin packs, OFF!® Products, Club Packs, OFF!®, OFF!® Product, Twin"
SAVE $3.00 ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,$3.00,"Daisy Disposable, Venus OR Daisy Disposable, Venus, Daisy, larger"
SAVE $2.00 ONE Olay Facial Cleanser (excludes trial/travel size).,$2.00,"Olay Facial Cleanser, trial/travel size"
SAVE $1.00 ONE Prilosec OTC Product.,$1.00,"Prilosec, Prilosec OTC Product"
SAVE $4.00 ONE Gillette Blade Refill (4 ct or larger).,$4.00,"Gillette Blade Refill, larger"
"SAVE $2.00 ONE Gain Flings 30 ct or larger OR Gain Ultra Flings 18 ct or larger (excludes Gain Liquid/Powder Laundry Detergent, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$2.00,"Powder Laundry Detergent, Gain Fabric Enhancers, Gain Ultra Flings, Gain Liquid, Laundry Detergent, Gain Flings, Gain, Gain Fireworks, excludes Gain Liquid/Powder Laundry Detergent, Gain Liquid/Powder Laundry Detergent, Ultra, larger, trial/travel size"
GET $3.00 off any ONE (1) Box of PULL-UPS® Training Pants (40 ct. or higher),$3.00,"PULL-UPS® Training Pants, PULL-UPS®, Box of PULL-UPS® Training Pants"
"SAVE $3.00 ONE Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity 3.0 oz or larger (excludes all other variants, kids, and trial/travel size).",$3.00,"Kids, Crest Gum Detoxify, Gum, Crest, variants, larger, trial/travel size"
"SAVE $2.00 ONE Gillette Razor (excludes Disposables, Venus Products and trial/travel size).",$2.00,"Gillette Razor, Venus, Disposables, Venus Products, trial/travel size"
"$0.75 OFF any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking Chips",$0.75,"Baking Chips, Lily’s Chocolate Bar, Chocolate Candy or Baking, Chocolate Candy"
"SAVE $4.00 when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial &amp; travel sizes",$4.00,"Adult ZYRTEC® product, Adult ZYRTEC®, trial &amp; travel sizes, travel sizes, trial &amp"
"$4.00 OFF on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or Children's Allegra® Product",$4.00,"Allegra®, Allegra-D®, Allegra® Allergy, Children's Allegra® Product, larger"
SAVE $2.00 ONE Dreft Newborn Laundry Detergent OR Dreft Active Baby Laundry Detergent OR Dreft Pure Gentleness Laundry Detergent (excludes trial/travel size).,$2.00,"Dreft Pure Gentleness Laundry Detergent, Laundry Detergent, Dreft Active Baby Laundry Detergent, PURE, Dreft Newborn Laundry Detergent, trial/travel size"
"BUY ONE GET ONE FREE on any ONE (1) bag of Flavors of America by Eight O'Clock®, Any variety 11oz.",0,bag of Flavors of America by Eight O'Clock®
$4.00 OFF on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food,$4.00,"SHEBA® PERFECT PORTIONS™ Premium Cat Food, multipack SHEBA® PERFECT PORTIONS™, multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food, SHEBA® PERFECT PORTIONS™"
"SAVE $4.00 ONE Olay Facial Moisturizer (excludes Serums, Complete, Active Hydrating and trial/travel size).",$4.00,"Serums, Active Hydrating, Olay Facial Moisturizer, Complete, trial/travel size"
SAVE $2.00 ONE Venus Razor (excludes disposables).,$2.00,"Venus, Disposables, Venus Razor"
"SAVE $5.00 off any ONE (1) Claritin® up to 55ct, excludes 60ct or larger",$5.00,"Claritin®, larger"
SAVE $1.50 on any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger),$1.50,"HUGGIES® LITTLE SWIMMERS®, HUGGIES® LITTLE SWIMMERS® Disposable Swimpants, package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants, HUGGIES®, larger"
$5.00 OFF on any ONE (1) Osteo Bi-Flex® product (28ct or larger),$5.00,"Osteo Bi-Flex®, Osteo Bi-Flex® product, larger"
SAVE $3.00 ONE (1) Nexium® 24HR 28ct or larger,$3.00,"Nexium® 24HR, Nexium®, larger"
SAVE $4.00 ONE Venus Blade Refill (4 ct or larger).,$4.00,"Venus Blade Refill, Venus, larger"
SAVE $3.00 ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz. or larger),$3.00,"Colgate® Optic White® Renewal Toothpaste, Colgate® Optic White®, larger"
SAVE $3.00 off any ONE (1) Children's Claritin® Syrup 4oz or larger,$3.00,"Children's Claritin®, Children's Claritin® Syrup, Claritin®, larger"
"SAVE $5.00 on ONE (1) NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag, any size",$5.00,NUTRO™ WHOLESOME ESSENTIALS™ Dry Cat Food bag
SAVE $3.00 on any ONE (1) Florastor product,$3.00,"Florastor product, Florastor"
SAVE $5.00 ONE Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush.,$5.00,"Oral-B Vitality, Pro 500 Rechargeable Electric Toothbrush, Oral-B, Pro 500 Rechargeable Electric"
Any Open Nature Product of $1 or more.Limit 1 item.,$1,"Open Nature Product, Limit"
Any Bakery Department Purchase of $1 or more.Limit 1 item.,$1,"Bakery Department Purchase, Limit"
Any Frozen Aisle Purchase of $1 or more.Limit 1 item.,$1,"Limit, Frozen Aisle Purchase"
Any Produce Department Purchase of $1 or more.Limit 1 item.,$1,"Limit, Produce Department Purchase"
Golden Ripe Bananas PLU 4011 Per lb. Excludes Organic.,0,"Golden Ripe Bananas PLU, Golden"
"Signature SELECT refreshe Water 24-pack, 16.9-oz. +CRV.",6.9,"Signature SELECT refreshe Water 24-pack, +CRV"
Calidad Tortilla Chips 12 to 14-oz.,0,Calidad Tortilla Chips
Chobani Greek Yogurt 5.3-oz.,5.3,Chobani Greek Yogurt
Lucerne Shredded Cheese 6 to 8-oz.,0,Lucerne Shredded Cheese
Lucerne Butter 16-oz.,0,Lucerne Butter
Mission Super Size Yellow Corn Tortillas 24-ct.,0,Mission Super Size Yellow Corn Tortillas
Barilla Pasta 12 to 16-oz. Excludes Plus Pasta and Gluten Free.,0,"Barilla Pasta, Gluten Free., Plus Pasta"
$1 Off Your Purchase of $1 or More *Standard exclusions apply.,$1,
Visa® Gift Cards When you buy $100 or more in Visa® gift cards. Limit 1 per...,$100,"Limit, Visa® Gift Cards"
Signature Farms Romaine Hearts 3-ct. Limit 1.,0,"Limit, Signature Farms Romaine Hearts"
Fresh Cravings Dip 8-10-oz. Limit 1.,0,"Limit, Fresh Cravings Dip"
"Litehouse® Buy ONE (1) Litehouse® Organic Dressing(11.25 oz), get ONE...",1.25,"Litehouse®, Litehouse® Organic Dressing"
Caspers Franks 16-oz. Limit 4.,0,"Limit, Caspers Franks"
Aidells Gourmet Chicken Sausage or Aidells meatballs. 12-oz. Limit 2 items.,0,"Aidells Gourmet Chicken Sausage, Limit, Aidells meatballs"
Signature Farms 80% Lean Ground Beef Mega-pack. Limit 1.,0,"Limit, Signature Farms 80% Lean Ground Beef Mega-pack"
Plated Meal Kits 22.2-32.5-oz.,2.2,Plated Meal Kits
Lipton or Tazo Tea 75-100-ct. Lipton or 20-ct. Tazo.,0,"Tazo Tea, Tazo, Lipton"
Glacéau smartwater Sport 700-ml. or 20-oz. vitaminwater. +CRV(CA only). Limit 12.,0,"Limit, vitaminwater, Glacéau smartwater Sport, CA only, +CRV"
Simply Orange Juice 52-oz. +CRV(CA only). Limit 4.,0,"Limit, CA only, +CRV, Simply Orange Juice"
7-UP 2-ltr. +CRV(CA only). Limit 4.,0,"Limit, 7-UP, CA only, +CRV"
"Gatorade 8-pk., 20-oz. +CRV(CA only). Limit 4.",0,"Limit, Gatorade, CA only, +CRV"
When you Buy 12-Pk. Dr Pepper & Cream... Buy Regular or Diet Dr. Pepper & Cream Soda & get FREE...,0,"Regular, Dr Pepper & Cream, Regular or Diet Dr. Pepper & Cream Soda"
"San Pellegrino Soda 6-pk., 11.15-oz. +CRV(CA only). Limit 4.",1.15,"Limit, San Pellegrino Soda 6-pk, CA only, +CRV"
Signature SELECT Apple Juice or Lemonade 64-oz. +CRV(CA only). Limit 4.,0,"Limit, Signature SELECT Apple Juice or Lemonade, CA only, +CRV"
Green Mountain Coffee Roasters or The Original Donut Shop. 12-32-ct. k-cup pods.,0,"The Original Donut Shop, k-cup pods, Green Mountain Coffee Roasters"
KeVita® on any TWO (2) 15.2oz. KeVita® bottles.,5.2,"KeVita® bottles, KeVita®, bottles"
Naked® Juice on any TWO (2) 15.2oz Naked® Juice bottles.,5.2,"Naked® Juice bottles, Naked® Juice, bottles"
Hint® Water When you buy any FIVE (5) bottles of Still Hint® Water.,0,"bottles of Still Hint® Water, Hint® Water, bottles"
Arrowhead® Brand Water on any THREE (3) Arrowhead® Spring Water Case Packs...,0,"Arrowhead® Spring Water Case Packs, Arrowhead® Brand Water"
Starbucks® ONE (1) Starbucks® Ground Coffee with Essential Vitamins or...,0,"Starbucks®, Starbucks® Ground Coffee with Essential Vitamins"
"Starbucks® ONE (1) Starbucks® K-Cup® Coffee with Essential Vitamins,...",0,"Starbucks®, K-Cup®, Starbucks® K-Cup® Coffee with Essential Vitamins"
"Glaceau smartwater 12-pk., 1-ltr. bottles. Limit 1.",0,"Limit, bottles, Glaceau smartwater"
"Glaceau smartwater 6-pk., 1-liter. Limit 1 per transaction.",0,"Limit, Glaceau smartwater 6-pk, Glaceau smartwater"
Silk Almondmilk Half-gallon. Gluten free.,0,"Silk Almondmilk Half-gallon, Gluten Free."
Lucerne Cheese 6-8-oz. Limit 4.,0,"Lucerne Cheese, Limit"
Lucerne Flavored Creamer 32-oz. Limit 4.,0,"Limit, Lucerne Flavored Creamer"
Galbani String or Stick Cheese 10-12-oz.,0,Galbani String or Stick Cheese
"Dannon Greek Yogurt 4-pack, 5.3-oz.",5.3,Dannon Greek Yogurt
Chobani Greek Yogurt 32-oz.,0,Chobani Greek Yogurt
Challenge or Danish Creamery Butter 16-oz. quarters. Or 15-oz. Challenge spreadable butter....,0,"Challenge spreadable butter, Spread, Challenge or Danish Creamery Butter"
Sargento Snack Bites on ONE (1) Sargento Snack Bites.,0,Sargento Snack Bites
Sargento Balanced Breaks on ONE (1) Sargento Balanced Breaks.,0,Sargento Balanced Breaks
Sargento® on any TWO (2) Sargento® Natural Cheese Slices.,0,"Sargento®, Sargento® Natural Cheese Slices"
Oikos Blue Yogurt On Any ONE (1) Oikos Blue Yogurt Cup (excluding Triple Zero).,0,"Oikos Blue Yogurt, Oikos Blue Yogurt Cup, BLUE, Triple Zero"
Frigo® Cheese Heads® Cheese on ONE (1) Frigo® Cheese Heads® 8ct or larger Snack Cheese...,0,"Frigo® Cheese Heads®, Frigo® Cheese Heads® Cheese, larger Snack Cheese, larger"
noosa® Yoghurt on any THREE (3) noosa® yoghurts.,0,"noosa® yoghurts, noosa® Yoghurt"
Hennessy VS 750-ml. Or 1.75-ltr.Ketel One. Limit 2 items.,1.75,"Ketel One, Limit, Hennessy VS"
"- on TWO (2) 12-packs or larger of Elysian Family, Golden...",0,"Elysian Family, Golden, larger"
Crook & Marker® on any combination of TWO (2) 8-can variety packs of Crook...,0,"8-can variety packs of Crook, Crook & Marker®"
A to Z Wineworks on any TWO (2) 750ml bottles of A to Z Wineworks wine.,0,"A to Z Wineworks wine, A to Z Wineworks, bottles"
Truly Hard Seltzer on any FOUR (4) 6-packs or TWO (2) 12-packs or ONE (1)...,0,Truly Hard Seltzer
Anheuser-Busch Multi Brand On 18PK or larger of Bud Light® or 12PK or larger of...,0,"Bud Light®, Anheuser-Busch Multi Brand, larger"
Erath Oregon on the purchase of TWO (2) 750ml bottles of Erath Oregon...,0,"bottles of Erath Oregon, bottles, Erath Oregon on the purchase"
Anchor Brewing Co the purchase of Anchor Steam or Anchor California Lager 6...,0,"Anchor Steam, Anchor California Lager, Anchor Brewing Co"
MALIBU® and Dole® Canned Pineapple Juice on any Dole® Canned Pineapple Juice with the purchase of...,0,"MALIBU®, Dole® Canned Pineapple Juice"
ALTOS™ Tequila on taco essentials when you purchase ONE (1) 750ml bottle...,0,ALTOS™ Tequila on taco essentials
KETEL ONE® BOTANICALS on ONE (1) bottle (750ml only) of KETEL ONE® BOTANICALS and...,0,"Ketel One, KETEL ONE® BOTANICALS, KETEL ONE®"
ABSOLUT® VODKA on any mixer when you purchase of any ONE (1) 750ml bottle...,0,ABSOLUT® VODKA
JAMESON® Irish Whiskey on ONE (1) 750ml bottle of JAMESON® IRISH WHISKEY.,0,JAMESON® IRISH WHISKEY
BEEFEATER® London Dry Gin on any tonic water when you purchase any ONE (1) 750ml...,0,BEEFEATER® London Dry Gin
Stella Artois® on TWO (2) 12-packs of any Stella Artois® products.,0,"Stella Artois® products, Stella Artois®"
TEQUILA AVIÓN® ONE (1) 750ml bottle of TEQUILA AVIÓN® Silver or Reposado.,0,"TEQUILA AVIÓN® Silver or Reposado, TEQUILA AVIÓN®"
"Clausthaler on ONE (1) Clausthaler beer 6-Pack (Original, Dry Hopped or...",0,"Clausthaler, Clausthaler beer, Dry Hopped"
Mike's Hard Lemonade on ONE (1) 12-pack of Mike's Hard Lemonade.,0,Mike's Hard Lemonade
"San Simeon & Maddalena Wine $3 for THREE (3), $9 for SIX (6) or $24 when you purchase...",$3,San Simeon & Maddalena Wine
"Kendall-Jackson Wine Save $12 when you buy SIX (6), Save $3 when you buy THREE...",$12,Kendall-Jackson Wine
Pacifico Clara When you buy ONE (1) 12-pack or larger of Pacifico Clara...,0,"larger of Pacifico Clara, Pacifico Clara, larger"
Modelo When you buy TWO (2) 12-packs or ONE (1) 24-pack of Modelo...,0,Modelo
Kona® Brewing on ONE (1) 12-pack Kona® beer and Groceries.,0,"Kona® beer, Kona® Brewing, Groceries."
"Cupcake® Wine Save $2 on TWO (2), $6 on FOUR (4), $18 on SIX (6) on...",$2,Cupcake® Wine
"CORONA when you purchase ONE (1) 24-pack of Corona Extra, Corona...",0,"Corona Extra, CORONA"
"CORONA $10 off TWO (2), or $5 off ONE (1) 12-pack or larger of...",$10,"CORONA, larger"
Russian Standard® Original Vodka on ONE (1) 1.75 Liter Bottle of Russian Standard® Original...,1.75,"Russian Standard® Original, Russian Standard® Original Vodka"
New Belgium Beer on TWO (2) 6pks of any New Belgium beer.,0,New Belgium Beer
"Ace Kicker $1 on ONE (1), $6 on THREE (3) or $18 on SIX (6) 750ml...",$1,Ace Kicker
Gentleman Jack® On One (1) 750ml or larger bottle of Gentleman Jack.,0,"Gentleman Jack®, Gentleman Jack, larger"
St. Huberts The Stag Recieve $2 on ONE (1) or $5 on TWO (2) 750ml bottles of St....,$2,"St. Huberts The Stag, bottles"
7 Deadly and Imagery Wines on ONE (1) 750 Bottle of 7 Deadly or Imagery.,0,"7 Deadly or Imagery, 7 Deadly and Imagery Wines"
BULLEIT on ONE (1) bottle (750ml only) of participating BULLEIT...,0,BULLEIT
"SMIRNOFF ICE, SMIRNOFF SELTZER on ONE (1) 12-pack of SMIRNOFF ICE OR SMIRNOFF Seltzer AND...",0,"SMIRNOFF ICE, SMIRNOFF SELTZER, SMIRNOFF, SMIRNOFF ICE OR SMIRNOFF Seltzer"
Grand Marnier® on ONE (1) Bottle of Grand Marnier® 750ml.,0,Grand Marnier®
CROWN ROYAL ONE (1) bottle (750ml or larger) of CROWN ROYAL (any...,0,"CROWN ROYAL ONE, CROWN ROYAL, larger"
KETEL ONE® ONE (1) bottle (750ml or larger) of KETEL ONE® Vodka...,0,"Ketel One, KETEL ONE® Vodka, KETEL ONE®, larger"
High Noon® Sun Sips on One (1) Variety 12 Pack of High Noon® Sun Sips.,0,High Noon® Sun Sips
"Risata Save $1 off ONE (1) , $5 off THREE (3), or $12 off SIX (6)...",$1,Risata Save
BACARDI® INSTANTLY ON THE PURCHASE OF ONE (1) COCA-COLA® 10PK 7.5 OZ...,7.5,"BACARDI® INSTANTLY, COCA-COLA®"
PLUME & PETAL® VODKA ON THE PURCHASE OF ONE (1) 750ML BOTTLE OF PLUME & PETAL®...,0,"PLUME & PETAL® VODKA, BOTTLE OF PLUME & PETAL®"
TANQUERAY ONE (1) bottle (750ml or larger) of TANQUERAY London Dry...,0,"TANQUERAY London Dry, TANQUERAY, larger"
"SMIRNOFF ONE (1) bottle (750ml or larger) of SMIRNOFF (any variant,...",0,"SMIRNOFF, larger"
DON JULIO ONE (1) bottle (750ml only) of DON JULIO Blanco Tequila.,0,"DON JULIO, DON JULIO Blanco Tequila"
BOMBAY SAPPHIRE® GIN ON THE PURCHASE OF ONE (1) 750ML BOTTLE OF BOMBAY SAPPHIRE®...,0,"BOMBAY SAPPHIRE®, BOMBAY SAPPHIRE® GIN"
"Yes Way Rosé Save $1 off ONE (1) , $5 off THREE (3), or $12 off SIX (6)...",$1,Yes Way Rosé
SMIRNOFF on ONE (1) 12-pack of SMIRNOFF Seltzer AND ONE (1) bottle...,0,"SMIRNOFF SELTZER, SMIRNOFF"
Signature Cafe 8-Piece Dark Meat Fried... 4-each: drumsticks & thighs. Limit 2.,0,"drumsticks & thighs, Limit, Signature Cafe 8-Piece Dark Meat Fried"
Primo Taglio Ham Off The Bone or Pan Roasted Turkey Breast or American Yellow or White...,0,"Pan Roasted Turkey Breast, Primo Taglio Ham Off The Bone, American Yellow or White"
Wellington Water Crackers 4.4-oz.,4.4,"Wellington Water Crackers, Crackers"
Mini Babybel Cheese 6-ct.,0,Mini Babybel Cheese
Signature Cafe Whole Roasted Chicken 28-34-oz. Limit 1.,0,"Signature Cafe Whole Roasted Chicken, Limit"
Signature Cafe Side Entrée 12-16-oz. Limit 1.,0,"Limit, Signature Cafe Side Entrée"
Reser's® on any ONE (1) Reser's® Deli Salad.,0,"Reser's®, Reser's® Deli Salad"
Claritin® Buy 1 Get $5.00 off or Buy More for Greater Savings! on...,$5.00,Claritin®
"CREST® on ONE Crest Gum Detoxify, Gum & Enamel Repair OR Gum &...",0,"CREST®, Gum & Enamel Repair OR Gum, Gum & Enamel Repair, Crest Gum Detoxify, Gum, Crest"
Crest Whitestrips ONE Crest 3D White Whitestrips Kit (excludes Noticeably...,0,"Crest Whitestrips, Crest, Noticeably, Crest 3D White Whitestrips Kit"
Fixodent ONE Fixodent Adhesive 1.4 oz OR larger (excludes...,1.4,"Fixodent Adhesive, Fixodent, larger"
"Oral B ONE Oral-B Adult Manual Toothbrush (excludes Pulsar,...",0,"Pulsar, Oral-B, Oral B, Oral-B Adult Manual Toothbrush"
Prilosec ONE Prilosec OTC Product.,0,"Prilosec, Prilosec OTC Product"
Crest / Scope ONE Crest Mouthwash 473 mL (16 oz) or larger (excludes...,0,"Crest / Scope, Crest Mouthwash, Crest, larger"
"Crest ONE Crest 3D White Whitening Therapy Enamel Care,...",0,"Crest 3D White Whitening Therapy Enamel Care, Crest"
"Oral B ONE Oral-B Glide Manual Floss, Floss Picks, Interdental...",0,"Oral-B Glide Manual Floss, Oral-B, Floss Picks, Interdental, Glide Manual Floss, Oral B"
Crest ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest...,4.6,"Crest Toothpaste, Crest"
"Crest ONE Crest Gum Detoxify, Gum & Enamel Repair, OR Gum &...",0,"Gum & Enamel Repair, Crest Gum Detoxify, Gum, Crest"
Oral B ONE Oral-B Vitality OR Pro 500 Rechargeable Electric...,0,"Oral-B Vitality, Oral-B, Oral B, Pro 500 Rechargeable Electric"
Colgate® Optic White® ONLY On Colgate® Optic White® Renewal Toothpaste (3.0 oz....,3.0,"Colgate® Optic White® Renewal Toothpaste, Colgate® Optic White®"
Stayfree® or Carefree® Buy 1 Get $2.00 off or Buy More for Greater Savings! on...,$2.00,"Stayfree®, Carefree®"
Playtex® Sport® or o.b.® Tampons Buy 1 Get $3.00 off or Buy More for Greater Savings! on...,$3.00,"Playtex® Sport®, o.b.® Tampons"
Nexium® 24HR ONE (1) Nexium® 24HR 28ct or larger.,0,"Nexium® 24HR, Nexium®, larger"
Cetaphil® on ANY ONE (1) Cetaphil® Product (excludes 4oz. or less -...,0,"Cetaphil®, Cetaphil® Product"
Differin® on ANY ONE (1) Differin® Product.,0,"Differin® Product, Differin®"
BOOST® Nutritional Drinks or Drink Mixes on any TWO (2) BOOST® Nutritional Drinks or Drink Mixes.,0,"BOOST® Nutritional Drinks, Drink Mixes"
ONE® Brands on ONE (1) ONE® Brands protein bar 60g bar any flavor.,0,"ONE® Brands protein bar, ONE® Brands"
Osteo Bi-Flex® on any ONE (1) Osteo Bi-Flex® product (28ct or larger).,0,"Osteo Bi-Flex®, Osteo Bi-Flex® product, larger"
CLIF BAR® on any ONE (1) CLIF® Bar Multipack.,0,"CLIF BAR®, CLIF® Bar Multipack"
"BENADRYL® on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product...",0,BENADRYL®
Claritin® off any ONE (1) Claritin® Cool Mint Chewables 24 ct.,0,"Claritin® Cool Mint Chewables, Claritin®"
Claritin-D® off any ONE (1) Claritin-D® 15ct or larger.,0,"Claritin-D®, larger"
Claritin® off any ONE (1) Children's Claritin® Syrup 4oz or larger.,0,"Children's Claritin®, Children's Claritin® Syrup, Claritin®, larger"
Claritin® off any ONE (1) Children's Claritin® Chewables 20ct OR ONE...,0,"Children's Claritin® Chewables, Children's Claritin®, Claritin®"
Ensure® on Any TWO (2) Ensure Multi-Pack Shakes.,0,"Shakes, Ensure®, Ensure Multi-Pack Shakes"
Aleve® on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger...,0,"Aleve® or Aleve®PM product, Aleve®PM product, Aleve®, larger"
"Adult ZYRTEC® when you buy ONE (1) Adult ZYRTEC® product, any variety...",0,"Adult ZYRTEC® product, Adult ZYRTEC®"
Florastor on any ONE (1) Florastor product.,0,"Florastor product, Florastor"
"Allegra® on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or...",0,"Allegra®, Allegra-D®, Allegra® Allergy, larger"
Dixie Tableware 40-94-ct.,0,Dixie Tableware
Kingsford Match Light or Charcoal... 12-16-lb. Limit 2.,0,"Kingsford Match Light or Charcoal, Limit"
Pabst Blue Ribbon on ONE (1) Pabst Blue Ribbon 30pk and ONE (1) Bag of...,0,"BLUE, Pabst Blue Ribbon"
Tide ONE Tide Laundry Detergent 37 oz TO 50 oz (excludes Tide...,0,"Laundry Detergent, Tide Laundry Detergent, Tide"
Tide ONE Tide PODS 16 ct OR 12 ct (excludes Tide Liquid/Powder...,0,"Tide Liquid, Tide, Tide PODS, Tide Liquid/Powder"
Chinet® Cut Crystal® Buy TWO (2) Chinet® Cut Crystal® Get ONE (1) Chinet® Cut...,0,"Chinet® Cut Crystal®, Chinet® Cut"
Gain ONE Gain Flings 16 ct OR 14 ct OR 12 ct OR Gain Liquid...,0,"Gain Liquid, Gain Flings, Gain"
Gain ONE Gain Liquid Fabric Softener 48 ld OR Gain Fireworks In...,0,"Gain Liquid, Gain Fireworks In, Gain Liquid Fabric Softener, Gain, Gain Fireworks, Liquid Fabric Softener"
Raid® any ONE (1) Raid® Wasp & Hornet Product.,0,"Raid® Wasp & Hornet Product, Raid®"
OFF!® any ONE (1) OFF!® brand product.,0,"OFF!® brand product, OFF!®"
Raid® on any ONE (1) Raid® Essential Oils Product (Excludes Raid®...,0,"Raid®, Raid® Essential Oils Product"
"OFF!® on any ONE (1) OFF!® Product (Excludes Club Packs, Twin...",0,"Club Packs, OFF!®, OFF!® Product, Twin"
Tillamook Ice Cream 1.75-qt.,1.75,Tillamook Ice Cream
Popsicle Novelties 9-18-ct.,0,Popsicle Novelties
Pepperidge Farm Turnovers 12.5-oz. or 19.6-oz. cakes.,2.5,"cakes, Pepperidge Farm Turnovers"
Signature SELECT Frozen Dessert 8-9.87-oz. Limit 1.,9.87,"Signature SELECT Frozen Dessert, Limit"
Signature SELECT Ice Cream 1.5-qt. Limit 1.,1.5,"Signature SELECT Ice Cream, Limit"
"Tillamook® Ice Cream on any TWO (2) Tillamook® Ice Cream Products, 56 oz.",0,"Tillamook® Ice Cream Products, Tillamook® Ice Cream Product, Tillamook® Ice Cream"
VALSOIA on ONE (1) Valsoia Dairy Free Gelato.,0,"Valsoia Dairy Free Gelato, VALSOIA"
Bubbies Ice Cream any ONE (1) Bubbies Mochi or Cookie Dough Ice Cream Bites...,0,"Bubbies Mochi or Cookie Dough Ice Cream Bites, Bubbies Ice Cream"
Cheez-It Snack Mix 40-oz.,0,Cheez-It Snack Mix
Ghirardelli Chocolate Bars 3.17-3.5-oz.,3.17,Ghirardelli Chocolate Bars
Pepperidge Farm Goldfish Crackers 6-8-oz.,0,"Pepperidge Farm Goldfish Crackers, Crackers"
Cheez-It Crackers 8.7-12.4-oz.,8.7,"Cheez-It Crackers, Crackers"
Planters Peanuts 16-oz.,0,Planters Peanuts
Calidad Tortilla Chips 11.5-12-oz.,1.5,Calidad Tortilla Chips
Signature SELECT Snacking Nuts 5-8.5-oz Limit 1.,8.5,"Limit, Signature SELECT Snacking Nuts"
Signature SELECT Cookie Thins 7-oz. Limit 1.,0,"Limit, Signature SELECT Cookie Thins"
