description,FaceValue,Products
Save $2.00 ONE Dreft Newborn Laundry Detergent OR Dreft Active Baby Laundry Detergent OR Dreft Pure Gentleness Laundry Detergent (excludes trial/travel size).,$2.00,"Dreft Pure Gentleness Laundry Detergent, Laundry Detergent, Dreft Active Baby Laundry Detergent, PURE, Dreft Newborn Laundry Detergent, trial/travel size"
$1.00 OFF any THREE (3) Happy Baby Organics &amp; Happy Tot Organics pouches,$1.00,
Save $1.00 on any ONE (1) Udi's® Frozen Item,$1.00,Udi's® Frozen Item
"Save $1.00 ONE Downy Liquid Fabric Conditioner 48ld to 60ld (Includes Downy Odor Protect 32oz OR Downy Wrinkle Guard 25oz OR Downy Nature Blends 44 oz) OR Bounce/Downy Sheets 70ct to 120ct(Includes Bounce/Downy Wrinkle Guard 40ct to 60ct) OR In Wash Scent Boosters 5.7oz (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size)",$1.00,"Fresh Protect, Bounce Rapid Touch-up 3 in 1 Spray, Downy Nature Blends, Downy Wrinkle Releaser Spray, Bounce/Downy Wrinkle Guard, Downy Unstopables, Odor Protect, Downy Libre Enjuague, Downy Odor Protect, Downy Wrinkle Guard, Bounce/Downy Sheets, In Wash Scent Boosters, Wash Scent Boosters, Downy Liquid Fabric Conditioner, Infusions, trial/travel size"
"Save $1.00 ONE Gain Liquid Fabric Softener 48 ld or larger (includes Gain Botanicals) OR Gain Fireworks In Wash Scent Boosters 5.7 oz or larger OR Gain Dryer Sheets 105 ct or larger (excludes Gain Flings, Gain Detergent and trial/travel size).",$1.00,"Gain Botanicals, Gain Fireworks In Wash Scent Boosters, Gain Liquid, Gain Flings, Gain Fireworks In, Gain Dryer Sheets, Gain Liquid Fabric Softener, In Wash Scent Boosters, Wash Scent Boosters, Gain, Gain Detergent, Gain Fireworks, Liquid Fabric Softener, larger, trial/travel size"
"$1.00 OFF on any ONE (1) Tillamook® Ice Cream Product, 56 oz.",$1.00,"Tillamook® Ice Cream Product, Tillamook® Ice Cream"
"Save $1.00 on Any ONE (1) BENADRYL® 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes)",$1.00,"trial &amp; travel sizes, BENADRYL®, travel sizes, trial &amp, topical"
"Save $1.00 ONE Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks (excludes trial/travel size).",$1.00,"Oral-B Glide Manual Floss, Oral-B, Floss Picks, Interdental, Glide Manual Floss, Interdental Picks, Interdental Brush, trial/travel size"
"$1.00 OFF TWO (2) Atkins® Bars, Shakes or Treats",$1.00,"Shakes, Treats, Atkins® Bars"
Save $1.00 ONE Prilosec OTC Product.,$1.00,"Prilosec, Prilosec OTC Product"
"$0.75 OFF any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking Chips",$0.75,"Baking Chips, Lily’s Chocolate Bar, Chocolate Candy or Baking, Chocolate Candy"
"Save $1.00 ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).",$1.00,"Tide Simply PODS, Laundry Detergent, Tide, Tide detergent, Tide PODS, Tide Simply Laundry Detergent, Tide Simply, ERA Laundry Detergent, larger, trial/travel size"
Save $3.00 ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,$3.00,"Daisy Disposable, Venus OR Daisy Disposable, Venus, Daisy, larger"
"Save $2.00 ONE Tampax Pearl, Radiant OR PURE Tampons (14 ct or higher).",$2.00,"PURE, Radiant, Tampax Pearl, PURE Tampons"
"Save $4.00 when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial &amp; travel sizes",$4.00,"Adult ZYRTEC® product, Adult ZYRTEC®, trial &amp; travel sizes, travel sizes, trial &amp"
"Save $2.00 ONE Always Radiant, Infinity, PURE, Pure Cotton, Ultra, OR Maxi Pads 10 ct OR higher (excludes Always Liners and Always Discreet).",$2.00,"Always Liners and Always Discreet, Infinity, Always Liners, Always Discreet, Always Radiant, Maxi Pads, Liners, PURE, Radiant, Pure Cotton, Ultra"
"SAVE 55¢ on any ONE (1) OFF!® Product&nbsp;(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)",$5.5,"twin packs, OFF!® Products, Club Packs, OFF!®, OFF!® Product, Twin"
